fold,validation_error,test_error,time taken on test
fold 0-7 100k,3.696971733730189,3.7082037535048893,1:16:41.059682
fold 1-8 100k,3.7082037535048893,3.6791439221645024,1:16:06.779764
fold 2-9 100k,3.6791439221645024,3.7091104054746067,1:17:42.101730
fold 3-0 100k,3.7091104054746067,3.6969852582881635,1:17:40.606363
fold 4-1 100k,3.6969852582881635,3.695023680573644,1:16:06.366562
fold 5-2 100k,3.695023680573644,3.7295039884681715,1:15:57.762294
